Name,Team,Position,Expert Rank
Jack Bech,LV,WR,188.63
Tyreek Hill,,WR,188.75
Jerry Jeudy,CLE,WR,189.00
Terrance Ferguson,LAR,TE,189.50
AJ Barner,SEA,TE,189.67
Tory Horton,SEA,WR,193.13
Adonai Mitchell,NYJ,WR,194.38
Keon Coleman,BUF,WR,196.88
Pat Bryant,DEN,WR,198.88
Kyle Williams,NE,WR,199.88
Kaleb Johnson,PIT,RB,202.75
Mac Jones,SF,QB,203.13
Calvin Ridley,TEN,WR,205.75
Tez Johnson,TB,WR,207.86
Brian Robinson,ATL,RB,207.88
Darnell Mooney,NYG,WR,210.50
Devin Neal,NO,RB,212.13
Braelon Allen,NYJ,RB,213.63
Keenan Allen,,WR,213.75
Chig Okonkwo,WAS,TE,214.00
Hunter Henry,NE,TE,215.50
Justin Fields,KC,QB,215.63
Isaac TeSlaa,DET,WR,215.86
Cedric Tillman,CLE,WR,216.38
Travis Kelce,KC,TE,216.50
Tank Bigsby,PHI,RB,216.50
Kimani Vidal,LAC,RB,217.14
Malik Washington,MIA,WR,218.50
James Conner,ARI,RB,219.29
Xavier Legette,CAR,WR,219.75
Aaron Rodgers,,QB,220.38
Joe Mixon,,RB,221.00
Anthony Richardson,IND,QB,222.00
DJ Giddens,IND,RB,222.38
Marquise Brown,PHI,WR,224.88
Juwan Johnson,NO,TE,225.38
Theo Johnson,NYG,TE,227.50
Tank Dell,HOU,WR,228.13
Cade Otton,TB,TE,228.88
Dalton Schultz,HOU,TE,229.50
Rashod Bateman,BAL,WR,229.63
Emanuel Wilson,SEA,RB,230.00
Cooper Kupp,SEA,WR,230.13
Marvin Mims,DEN,WR,232.13
Kirk Cousins,LV,QB,233.00
George Holani,SEA,RB,234.00
Jaydon Blue,DAL,RB,235.13
Sean Tucker,TB,RB,235.43
Ray Davis,BUF,RB,235.75
Brashard Smith,KC,RB,237.20
Jalen Milroe,SEA,QB,237.38
Evan Engram,DEN,TE,237.88
Tre Tucker,LV,WR,238.80
Elijah Arroyo,SEA,TE,241.63
Ja'Lynn Polk,NO,WR,242.00
Dont'e Thornton Jr.,LV,WR,244.20
DeMario Douglas,NE,WR,245.25
Ja'Tavion Sanders,CAR,TE,245.88
Michael Mayer,LV,TE,247.13
Pat Freiermuth,PIT,TE,247.88
Christian Kirk,SF,WR,249.13
Ollie Gordon II,MIA,RB,250.00
Gunnar Helm,TEN,TE,250.57
Isaiah Davis,NYJ,RB,252.50
Jalen Nailor,LV,WR,252.75
Elijah Moore,PHI,WR,253.50
Jaylen Wright,MIA,RB,254.71
Jordan James,SF,RB,255.00
Taysom Hill,,TE,256.00
Jonnu Smith,,TE,256.63
Keaton Mitchell,LAC,RB,256.80
Savion Williams,GB,WR,257.80
Jarquez Hunter,LAR,RB,258.00
Efton Chism,NE,WR,258.67
Najee Harris,,RB,260.29
Dontayvion Wicks,GB,WR,260.50
Colby Parkinson,LAR,TE,260.50
Deshaun Watson,CLE,QB,261.17
Zach Wilson,NO,QB,264.00
Isaac Guerendo,SF,RB,264.33
Ben Sinnott,WAS,TE,264.38
Gabe Davis,,WR,265.00
Tahj Brooks,CIN,RB,265.75
Joe Flacco,CIN,QB,265.80
Zach Ertz,,TE,266.75
Trevor Etienne,CAR,RB,267.20
Andrei Iosivas,CIN,WR,268.29
Dillon Gabriel,CLE,QB,268.83
Kendre Miller,NO,RB,269.00
Kareem Hunt,,RB,269.43
Mike Gesicki,CIN,TE,269.75
Devaughn Vele,NO,WR,270.00
Xavier Restrepo,TEN,WR,270.00
Nick Chubb,,RB,270.14
Roman Wilson,PIT,WR,272.00
Isaiah Bond,CLE,WR,272.20
Treylon Burks,WAS,WR,273.00
Gardner Minshew,ARI,QB,273.00
Jordan Whittington,LAR,WR,274.00
Luke Musgrave,GB,TE,274.17
Russell Wilson,,QB,274.38
Noah Gray,KC,TE,274.75
Jerome Ford,WAS,RB,275.00
Cole Kmet,CHI,TE,275.50
Ryan Flournoy,DAL,WR,276.50
Curtis Samuel,,WR,277.00
Joshua Palmer,BUF,WR,278.29
MarShawn Lloyd,GB,RB,278.67
Roschon Johnson,CHI,RB,279.00
Jake Tonges,SF,TE,279.00
Jahan Dotson,ATL,WR,279.50
Raheim Sanders,CLE,RB,279.50
